Id,Score
1,1.000000
2,1.000000
3,1.000000
4,1.000000
5,1.000000
6,1.000000
7,1.000000
8,1.000000
9,1.000000
10,1.000000
11,4.350794
12,4.450319
13,5.000000
14,3.596088
15,3.510840
16,2.896070
17,3.875484
18,4.763944
19,4.055971
20,4.646697
21,1.000000
22,2.476408
23,2.345990
24,2.552222
25,3.071879
26,3.037121
27,3.262662
28,2.185279
29,3.800357
30,2.861099
31,4.456637
32,3.995427
33,2.198332
34,4.012581
35,3.992531
36,4.157003
37,4.770831
38,2.094918
39,1.878626
40,5.000000
41,4.197570
42,2.199522
43,2.330142
44,3.267616
45,1.417928
46,1.044230
47,3.469719
48,1.003461
49,1.932308
50,2.722912
51,4.049521
52,3.509493
53,2.396485
54,4.374605
55,3.464203
56,3.935701
57,2.814952
58,4.140769
59,4.582297
60,4.396282
61,4.893428
62,4.010259
63,4.347236
64,4.481656
65,4.099630
66,4.241915
67,4.524837
68,4.250321
69,4.564035
70,4.506938
71,3.998744
72,4.907482
73,4.055650
74,4.902149
75,3.893666
76,3.432731
77,3.029639
78,3.661468
79,1.301265
80,3.834175
81,3.703662
82,3.526184
83,4.409677
84,4.087115
85,5.000000
86,5.000000
87,5.000000
88,5.000000
89,5.000000
90,2.840053
91,3.569777
92,3.862477
93,4.718986
94,4.696968
95,3.996141
96,4.461543
97,4.568844
98,4.482431
99,4.409046
100,4.786550
101,2.202703
102,1.358929
103,4.178853
104,3.244813
105,3.908282
106,3.595707
107,3.901786
108,3.196431
109,3.638341
110,4.046770
111,5.000000
112,5.000000
113,3.141532
114,4.047741
115,5.000000
116,5.000000
117,4.974187
118,4.573990
119,4.675034
120,4.621694
121,3.389941
122,3.450047
123,3.427545
124,4.190607
125,2.628366
126,2.327846
127,3.739644
128,1.000000
129,4.201070
130,4.650965
131,3.499910
132,3.680830
133,4.708369
134,4.561471
135,5.000000
136,4.472813
137,4.199832
138,4.265653
139,4.641397
140,4.501760
141,2.296053
142,3.457645
143,2.280257
144,3.053213
145,2.480457
146,2.896177
147,2.379244
148,2.735705
149,3.435552
150,3.003667
151,5.000000
